Name
Brice HORTEFEUX
Richard HOWITT
Ian HUDGHTON
Stephen HUGHES
Filiz Hakaeva HYUSMENOVA
Gerald HAFNER
Thomas HANDEL
Martin HAUSLING
Jacky HENIN
Gunnar HOKMARK
Danuta Maria HUBNER
Salvatore IACOLINO
Anna IBRISAGIC
Stanimir ILCHEV
Juozas IMBRASAS
Iliana Malinova IOTOVA
Vincenzo IOVINE
Ií±aki IRAZABALBEITIA FERNíÅNDEZ
 Maria IRIGOYEN PEREZ
Carlos Jose ITURGAIZ ANGULO
Catalin Sorin IVAN
Laurence J.A.J. STASSEN
Liisa JAAKONSAARI
Yannick JADOT
Peter JAHR
Danuta  JAZLOWIECKA
Elisabeth JEGGLE
Anne E. JENSEN
Teresa JIMENEZ-BECERRIL BARRIO
Kent JOHANSSON
Eva JOLY
Cornelis de JONG
Romana JORDAN
Philippe JUVIN
Lí_via JíÅRíñKA
Anneli JAATTEENMAKI
Sidonia JEDRZEJEWSKA
Jelko KACIN
Filip KACZMAREK
Karin KADENBACH
Ivailo KALFIN
Jaroslaw KALINOWSKI
Sandra KALNIETE
Syed KAMALL
Michal Tomasz KAMINSKI
Patricia van der KAMMEN
Petra KAMMEREVERT
Othmar KARAS
Sajjad KARIM
Arturs Krisjanis KARINS
Martin KASTLER
Metin KAZAK
Tunne KELAM
Franziska KELLER
Sean KELLY
Nicole KIIL-NIELSEN
Evgeni KIRILOV
Timothy KIRKHOPE
Christa KLASS
Mojca KLEVA KEKUS
Wolf KLINZ
Jurgen KLUTE
Dieter-Lebrecht KOCH
Silvana KOCH-MEHRIN
Jaromor KOHLICEK
Maria Eleni KOPPA
Eija-Riitta KORHOLA
Georgios KOUMOUTSAKOS
Andrey KOVATCHEV
Bela KOVACS
Pawel Robert KOWAL
Sergej KOZLIK
Jan KOZLOWSKI
Edvard KOZUSNIK
Holger KRAHMER
Rodi KRATSA-TSAGAROPOULOU
Constanze Angela KREHL
Wolfgang KREISSL-DORFLER
Werner KUHN
Eduard KUKAN
Jacek Olgierd KURSKI
íÅdíçm KíñSA
Elisabeth Kí_STINGER
Giovanni LA VIA
Alain LAMASSOURE
Jean LAMBERT
Philippe LAMBERTS
Alexander Graf LAMBSDORFF
Vytautas LANDSBERGIS
Bernd LANGE
Esther de LANGE
Werner LANGEN
Claus LARSEN-JENSEN
AgníÂs LE BRUN
Constance LE GRIP
Patrick LE HYARIC
Jean-Marie LE PEN
Marine LE PEN
Ryszard Antoni LEGUTKO
Klaus-Heiner LEHNE
Jí_rg LEICHTFRIED
Jo LEINEN
Corinne LEPAGE
BogusÅ‰aw LIBERADZKI
Eva LICHTENBERGER
Peter LIESE
Kartika Tamara LIOTARD
Krzysztof LISEK
Barbara LOCHBIHLER
Verí_nica LOPE FONTAGNí_
Baroness Sarah LUDFORD
Olle LUDVIGSSON
Petru Constantin LUHAN
Astrid LULLING
Ulrike LUNACEK
George LYON
Marusya LYUBCHEVA
Juan Fernando LíñPEZ AGUILAR
Antonio LíñPEZ-ISTí_RIZ WHITE
Sabine Lí_SING
Isabella Lí_VIN
Morten LíÖKKEGAARD
Monica Luisa MACOVEI
Ivana MALETIÛÊ
Svetoslav Hristov MALINOV
Toine MANDERS
Thomas MANN
Bogdan Kazimierz MARCINKIEWICZ
Marian-Jean MARINESCU
David MARTIN
Hans-Peter MARTIN
Miguel Angel MARTíçNEZ MARTíçNEZ
Antonio MASIP HIDALGO
Clemente MASTELLA
Barbara MATERA
Ví©ronique MATHIEU HOUILLON
Marisa MATIAS
Gabriel MATO ADROVER
Iosif MATULA
Hans-Peter MAYER
Jaime MAYOR OREJA
Zofija MAZEJ KUKOVIÛë
Erminia MAZZONI
Vladimí_r MAÅˆKA
JiÅ»í_ MAÅæTíÅLKA
Linda McAVAN
Arlene McCARTHY
Emma McCLARKIN
Mairead McGUINNESS
Anthea McINTYRE
Edward McMILLAN-SCOTT
Gesine MEISSNER
Nuno MELO
Emilio MENí_NDEZ del VALLE
Judith A. MERKIES
Morten MESSERSCHMIDT
Roberta METSOLA
Willy MEYER
Louis MICHEL
Martina MICHELS
Marek Henryk MIGALSKI
Miroslav MIKOLíÅÅæIK
Guido MILANA
Francisco Josí© MILLíÅN MON
Alexander MIRSKY
Gay MITCHELL
Marlene MIZZI
Claude MORAES
Vital MOREIRA
Claudio MORGANTI
Elisabeth MORIN-CHARTIER
RadvilÛ„ MORKÅÈNAITÛ_-MIKULÛ_NIENÛ_
Krisztina MORVAI
Tiziano MOTTI
Jan MULDER
Paul MURPHY
Cristiana MUSCARDINI
Marí_a MUíïIZ DE URQUIZA
VojtÛ_ch MYNíÅÅÖ
Jean-Luc Mí_LENCHON
Alajos Mí_SZíÅROS
Andreas Mí_LZER
Juan Andrí©s NARANJO ESCOBAR
Mike NATTRASS
Norbert NEUSER
Katarí_na NEVEÛ_ALOVíÅ
Bill NEWTON DUNN
Nadezhda NEYNSKY
Annemie NEYTS-UYTTEBROECK
James NICHOLSON
Norica NICOLAI
RareÅô-Lucian NICULESCU
Angelika NIEBLER
Jens NILSSON
Lambert van NISTELROOIJ
SÅ‰awomir NITRAS
Paul NUTTALL
Franz OBERMAYR
Raimon OBIOLS
Kristiina OJULAND
Jan OLBRYCHT
Wojciech MichaÅ‰ OLEJNICZAK
Younous OMARJEE
Ria OOMEN-RUIJTEN
Eva ORTIZ VILELLA
Miroslav OUZKíù
Siiri OVIIR
Doris PACK
Ivari PADAR
Riikka PAKARINEN
Rolandas PAKSAS
Justas Vincas PALECKIS
Chrysoula PALIADELI
Alfredo PALLONE
Vladko Todorov PANAYOTOV
Monika PANAYOTOVA
Pier Antonio PANZERI
Antigoni PAPADOPOULOU
Georgios PAPANIKOLAOU
Georgios PAPASTAMKOS
Gilles PARGNEAUX
Antonyia PARVANOVA
Aldo PATRICIELLO
Maria do Cí©u PATRí€O NEVES
Marit PAULSEN
Ioan Mircea PAÅ_CU
Jaroslav PAÅæKA
Andrí©s PERELLíñ RODRíçGUEZ
Alojz PETERLE
Sandra PETROVIÛÊ JAKOVINA
Tonino PICULA
Markus PIEPER
Sirpa PIETIKí‹INEN
MirosÅ‰aw PIOTROWSKI
Mario PIRILLO
Hubert PIRKER
Andreas PITSILLIDES
Gianni PITTELLA
Andrej PLENKOVIÛÊ
Pavel POC
Anni PODIMATA
Maurice PONGA
Tomasz Piotr PORÛÖBA
Bernd POSSELT
Konstantinos POUPAKIS
Cristian Dan PREDA
Phil PRENDERGAST
Vittorio PRODI
Jacek PROTASIEWICZ
Franck PROUST
Fiorello PROVERA
Hans-Gert Pí_TTERING
Godelieve QUISTHOUDT-ROWOHL
Paulo RANGEL
Miloslav RANSDORF
Bernhard RAPKAY
Sylvana RAPTI
Evelyn REGNER
Britta REIMERS
Mitro REPO
Herbert REUL
Teresa RIERA MADURELL
Frí©dí©rique RIES
Niccolí_ RINALDI
Dominique RIQUET
MichíÂle RIVASI
Crescenzio RIVELLINI
Jean ROATTA
Robert ROCHEFORT
Ulrike RODUST
Jens ROHDE
Zuzana ROITHOVíÅ
Carmen ROMERO LíñPEZ
Raí_l ROMEVA i RUEDA
Licia RONZULLI
Anna ROSBACH
Tadeusz ROSS
Oreste ROSSI
Dagmar ROTH-BEHRENDT
Libor ROUÛëEK
Alfreds RUBIKS
Paul RíìBIG
Heide RíìHLE
Josí© Ignacio SALAFRANCA SíÅNCHEZ-NEYRA
Potito SALATTO
Nikolaos SALAVRAKOS
Matteo SALVINI
Marie-Thí©ríÂse SANCHEZ-SCHMID
Judith SARGENTINI
Marielle de SARNEZ
Amalia SARTORI
Petri SARVAMAA
Jacek SARYUSZ-WOLSKI
David-Maria SASSOLI
Algirdas SAUDARGAS
Vilja SAVISAAR-TOOMAST
Tokia SAíèFI
Marietje SCHAAKE
Christel SCHALDEMOSE
Carl SCHLYTER
Olle SCHMIDT
Horst SCHNELLHARDT
Birgit SCHNIEBER-JASTRAM
Helmut SCHOLZ
Elisabeth SCHROEDTER
Martin SCHULZ
Werner SCHULZ
Andreas SCHWAB
Gyí_rgy SCHí_PFLIN
Giancarlo SCOTTíó
Marco SCURRIA
Salvador SEDíñ i ALABART
Richard SEEBER
Olga SEHNALOVíÅ
Joanna SENYSZYN
Adrian SEVERIN
CzesÅ‰aw Adam SIEKIERSKI
Ovidiu Ioan SILAGHI
Sergio Paolo Francesco SILVESTRIS
Peter SIMON
Brian SIMPSON
Nicole SINCLAIRE
Birgit SIPPEL
Marek SIWIEC
Peter SKINNER
Joanna Katarzyna SKRZYDLEWSKA
Theodoros SKYLAKAKIS
Alyn SMITH
Monika SMOLKOVíÅ
Renate SOMMER
BogusÅ‰aw SONIK
Sophocles SOPHOCLEOUS
Francisco SOSA WAGNER
Alda SOUSA
Francesco Enrico SPERONI
Ewald STADLER
Bart STAES
Gabriele STAUNER
Georgios STAVRAKAKIS
Jutta STEINRUCK
Struan STEVENSON
